player_id,year,round,pick,team
blautda01,1970,10,164,CHI
blaylmo01,1989,1,12,NJN
bledser01,2010,1,18,OKC
blevejo01,1954,10,89,MNL
bleviha01,1965,2,17,NYK
blevile01,1950,7,81,INO
blockjo01,1966,3,27,LAL
blondhe01,1971,5,71,POR
bloodch01,1970,13,201,CHI
bloomke01,1950,10,112,TRI
blossja01,2017,2,59,SAS
blounco01,1993,1,25,CHI
blounma01,1997,2,55,SEA
blueje01,1964,8,72,BOS
blumera01,1981,2,36,IND
bluntmi01,1982,8,182,LAL
boagnke01,1986,5,107,UTA
bobbne01,1949,3,,PHW
bobikra01,1974,5,76,PHO
bockhbu01,1958,3,18,CIN
boddiod01,1980,6,137,LAL
bodelbo01,1973,10,155,SEA
bodirde01,1995,2,51,SAC
bodkied01,1966,3,30,CHI
bodnami01,1953,5,,FTW
boerwto01,1968,1,4,CHI
bogadru01,1968,13,164,BAL
boganke01,2003,2,43,MIL
bogdabo01,2014,1,27,PHO
bogdabo02,2011,2,31,MIA
boguemu01,1987,1,12,WSB
bogutan01,2005,1,1,MIL
bohnero01,1968,9,114,NYK
boinbr01,1958,8,63,STL
bolbo01,2019,2,44,MIA
boldedo01,1955,8,62,MNL
boldejo01,2017,2,36,PHI
boldije01,1983,8,163,HOU
boldtca01,1957,7,50,DET
bolgebi01,1953,4,,MLH
bolma01,1983,5,97,SDC
bolmale01,2020,1,23,NYK
bolomjo01,2016,2,52,UTA
bolstdo01,1957,8,57,DET
boltobe01,1987,4,83,GSW
bolyaro01,1947,10,,BLB
bolyato01,1963,3,20,BAL
bonaad01,2024,2,41,PHI
bonaed01,1983,6,135,PHO
bonapch01,1969,3,35,SDR
bondja01,1970,15,214,SDR
bondji01,1958,7,49,MNL
bondph01,1977,3,62,HOU
bondro01,1982,3,62,DEN
bonejo01,2019,2,57,NOP
bongais01,2018,2,39,PHI
bonharo01,1964,2,18,BOS
bonnean01,1990,1,23,SAC
bonnema01,2003,2,45,CHI
bonsage01,1957,1,7,SYR
bontero01,1951,3,22,TRI
bookebu01,1968,5,58,NYK
bookede01,2015,1,13,PHO
bookeer01,1984,8,178,UTA
bookefr01,1987,7,140,NJN
bookeke01,1971,14,213,PHO
booketr01,2010,1,23,MIN
booneda01,1987,4,77,DEN
boonegr01,1981,10,208,CLE
boonejo01,2006,1,23,NJN
boonero01,1968,11,147,PHO
boothca01,1999,2,35,WAS
boothji01,1957,12,80,CIN
boothke01,1997,1,28,CHI
boozebo01,1959,1,1,CIN
boozeca01,2002,2,35,CLE
borchcu01,2002,1,18,ORL
bormada01,1977,4,70,ATL
bornbh01,1954,3,22,FTW
borsaik01,1950,5,51,PHW
bosansc01,1981,10,204,DAL
boshaji01,1967,10,104,CHI
boshch01,2003,1,4,TOR
boskost01,1976,8,140,GSW
bostiji01,1975,8,139,KCK
bostiro01,1977,7,134,MIL
bostobr01,2021,2,51,MEM
bostola01,1978,4,81,WSB
bosweal01,1975,7,125,BOS
bosweto01,1975,1,17,BOS
bottspa01,1971,9,146,DET
bouchri01,1980,9,188,POR
bouchst01,1983,4,78,DET
bouiero01,1980,2,34,DAL
bouknja01,2021,1,11,CHO
bouldca01,1961,14,106,CIN
boumtru01,2001,2,50,POR
boundno01,1972,16,194,BUF
boushdi01,1955,3,22,MNL
boutiji01,1964,8,64,NYK
bovendo01,1949,6,,INJ
bowdlca01,1999,1,17,ATL
bowenlc01,1969,7,93,CIN
bowenry01,1998,2,55,DEN
